"Description","R̩sultats"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","2010:2021"
"Sources (Journals, Books, etc)","442"
"Documents","826"
"Average years from publication","2.31"
"Average citations per documents","8.791"
"Average citations per year per doc","2.152"
"References","25566"
"DOCUMENT TYPES",""
"article","250"
"book","3"
"book chapter","47"
"conference paper","479"
"conference review","23"
"editorial","2"
"erratum","1"
"note","1"
"review","20"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","3993"
"Author's Keywords (DE)","2102"
"AUTHORS",""
"Authors","2498"
"Author Appearances","2987"
"Authors of single-authored documents","68"
"Authors of multi-authored documents","2430"
"AUTHORS COLLABORATION",""
"Single-authored documents","95"
"Documents per Author","0.331"
"Authors per Document","3.02"
"Co-Authors per Documents","3.62"
"Collaboration Index","3.32"
"",""